183,199,20
115,199,39
186,189,43
21,111,26
90,160,28
126,177,39
172,189,46
168,176,41
182,191,44
123,160,52
129,145,48
58,84,57
193,194,50
42,78,36
21,142,44
137,179,58
115,176,33
126,148,53
156,174,60
170,187,50
105,191,46
127,138,27
46,170,56
57,135,23
182,192,45
167,191,53
43,160,24
8,165,46
188,189,49
51,171,23
132,149,56
168,196,26
26,27,36
139,181,26
34,163,43
1,40,58
117,171,50
156,178,47
86,154,29
89,127,20
40,130,56
117,139,40
81,164,53
127,144,43
97,107,27
165,167,29
19,47,53
71,77,25
103,149,23
168,197,48
140,150,49
123,177,50
46,136,21
155,185,40
164,197,28
150,194,57
34,181,32
114,154,45
143,171,43
165,190,51
32,128,36
28,112,35
74,118,54
195,200,30
35,154,55
28,120,22
128,138,59
4,156,30
13,28,48
40,65,38
128,129,42
117,151,20
124,156,33
183,190,31
172,174,42
190,196,30
154,185,47
82,181,46
197,198,34
4,37,54
22,171,54
143,175,25
140,163,36
10,186,49
61,200,45
105,141,35
44,51,53
65,89,35
82,155,47
37,177,31
0,37,59
99,110,29
68,128,36
131,141,33
133,173,32
163,192,27
99,105,25
173,193,22
190,196,33
66,123,46
90,125,36
142,193,29
45,72,25
18,194,37
148,173,39
9,190,49
142,188,38
101,148,39
121,155,34
199,200,39
139,179,49
67,127,59
127,145,31
58,181,27
22,38,32
81,127,36
92,129,52
50,76,34
22,164,39
42,193,55
98,191,48
190,200,22
19,92,25
155,170,36
179,185,23
176,195,45
60,143,25
84,150,51
21,149,46
13,200,25
126,138,54
2,109,32
184,190,45
68,129,24
72,157,26
98,129,29
153,195,25
133,136,31
90,175,27
146,191,27
100,147,50
197,200,49
103,141,22
97,171,22
86,174,57
196,200,56
157,175,37
60,155,35
60,165,23
27,199,21
156,199,23
97,117,60
39,66,54
3,174,51
47,75,29
151,189,31
139,167,45
127,167,33
49,89,30
29,95,60
177,188,51
171,174,38
167,175,31
195,199,60
29,193,45
140,162,38
26,29,46
42,121,39
23,179,24
109,164,54
196,200,53
34,37,52
124,178,41
168,182,26
112,171,50
146,171,29
116,185,40
129,134,20
47,112,25
80,152,21
57,80,48
86,147,30
112,155,45
79,198,53
189,196,42
41,167,25
187,196,55
166,183,33
56,138,60
60,130,21
5,115,43
118,156,33
73,88,49
37,107,24
7,58,39
114,166,39
100,160,42
38,104,36
74,86,41
81,135,22
70,90,55
39,117,52
22,49,46
47,117,59
82,131,60
191,194,40
121,182,48
91,189,26
31,110,57
140,195,20
98,152,47
116,169,43
31,157,57
4,143,37
18,150,54
62,169,56
177,180,44
104,153,57
7,84,29
144,156,38
127,180,48
160,179,47
163,199,41
111,151,26
91,133,44
14,112,36
193,200,24
82,113,28
117,155,29
174,189,46
86,138,43
74,77,58
179,191,37
175,189,53
110,173,20
17,185,25
137,183,43
143,193,26
125,142,20
18,56,21
163,194,33
58,173,43
171,191,36
85,100,49
4,184,59
50,69,22
85,127,55
39,115,21
167,173,41
77,153,42
65,141,43
155,156,35
11,135,45
196,200,52
70,125,24
27,183,26
83,179,38
30,184,60
150,181,22
114,176,59
47,89,28
35,123,42
154,174,54
86,131,42
159,182,38
83,182,46
123,142,31
122,165,55
21,197,42
147,158,37
69,100,38
103,164,20
107,156,49
6,36,60
84,105,43
98,108,38
98,128,50
171,183,34
106,193,31
24,142,24
0,179,35
53,170,48
138,152,41
67,177,35
187,192,27
122,142,21
50,130,21
54,121,51
13,175,27
181,199,34
120,154,31
181,194,28
96,114,45
122,157,38
97,154,29
181,199,36
57,101,47
199,200,33
83,169,27
177,197,57
132,159,57
66,92,48
82,170,28
86,140,32
190,194,58
76,77,46
92,102,59
39,132,45
136,185,21
43,173,39
182,192,22
155,169,28
15,156,44
53,105,50
183,184,24
97,192,57
69,141,24
149,182,55
39,140,58
10,34,42
90,157,22
152,172,51
177,183,56
166,195,25
41,49,58
98,131,42
176,182,37
28,183,31
108,174,37
197,199,23
174,198,29
125,173,51
12,184,36
21,191,35
39,87,21
159,177,32
154,182,53
172,182,43
52,87,30
82,178,55
154,158,20
106,160,48
190,194,26
172,182,23
59,136,25
80,108,42
190,192,31
152,154,34
69,163,49
83,178,36
100,107,55
67,145,27
32,131,26
75,130,48
12,59,59
36,123,56
44,93,22
14,110,56
126,171,50
39,118,22
152,166,58
190,200,46
31,132,56
135,139,27
77,110,53
198,200,59
155,169,57
156,185,38
23,55,30
158,194,39
45,127,22
190,194,21
100,155,27
164,199,43
59,126,36
44,138,49
151,196,28
19,187,24
104,109,53
75,117,24
167,175,32
129,156,36
131,191,39
7,125,49
183,190,55
72,86,56
62,144,48
197,198,37
141,199,59
74,111,24
85,134,58
30,200,39
98,121,32
24,160,34
41,171,54
80,167,41
189,200,38
123,142,45
93,173,36
20,146,23
